heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,400,20,9,0.0008,1000,1107,0.6
monotona,400,20,10,0.0007,1000,1229,0.6
monotona,400,20,1,0.0007,1000,1270,0.7
monotona,400,20,2,0.0013,1000,1139,0.7
monotona,400,20,3,0.0011,1000,1250,0.7
monotona,400,20,4,0.0008,1000,1229,0.7
monotona,400,20,5,0.0007,1000,1314,0.7
monotona,400,20,6,0.0008,1000,1305,0.7
monotona,400,20,7,0.0014,1000,1159,0.7
monotona,400,20,8,0.0008,1000,1430,0.7
monotona,400,20,9,0.0010,1000,1166,0.7
monotona,400,20,10,0.0007,1000,1342,0.7
monotona,400,20,1,0.0008,1000,1224,0.8
monotona,400,20,2,0.0010,1000,1212,0.8
monotona,400,20,3,0.0008,1000,1167,0.8
monotona,400,20,4,0.0015,1000,1115,0.8
monotona,400,20,5,0.0006,1000,1583,0.8
monotona,400,20,6,0.0010,1000,1166,0.8
monotona,400,20,7,0.0007,1000,1242,0.8
monotona,400,20,8,0.0011,1000,1191,0.8
monotona,400,20,9,0.0011,1000,1150,0.8
monotona,400,20,10,0.0007,1000,1344,0.8
monotona,400,20,1,0.0011,1000,1102,0.9
monotona,400,20,2,0.0008,1000,1223,0.9
monotona,400,20,3,0.0011,1000,1266,0.9
monotona,400,20,4,0.0017,1000,1107,0.9
monotona,400,20,5,0.0016,1000,1212,0.9
monotona,400,20,6,0.0026,1000,1052,0.9
monotona,400,20,7,0.0022,1000,1113,0.9
monotona,400,20,8,0.0013,1000,1159,0.9
monotona,400,20,9,0.0012,1000,1194,0.9
monotona,400,20,10,0.0016,1000,1127,0.9
monotona,353,50,1,0.0004,1000,560,0.1
monotona,353,50,2,0.0007,1000,546,0.1
monotona,353,50,3,0.0004,1000,564,0.1
monotona,353,50,4,0.0001,1000,594,0.1
monotona,353,50,5,0.0002,1000,588,0.1
monotona,353,50,6,0.0008,1000,518,0.1
monotona,353,50,7,0.0001,1000,655,0.1
monotona,353,50,8,0.0003,1000,553,0.1
monotona,353,50,9,0.0002,1000,735,0.1
monotona,353,50,10,0.0006,1000,644,0.1
monotona,353,50,1,0.0008,1000,523,0.2
monotona,353,50,2,0.0003,1000,568,0.2
monotona,353,50,3,0.0004,1000,600,0.2
monotona,353,50,4,0.0011,1000,493,0.2
monotona,353,50,5,0.0008,1000,506,0.2
monotona,353,50,6,0.0004,1000,662,0.2
monotona,353,50,7,0.0008,1000,477,0.2
monotona,353,50,8,0.0002,1000,754,0.2
monotona,353,50,9,0.0002,1000,549,0.2
monotona,353,50,10,0.0007,1000,551,0.2
monotona,353,50,1,0.0011,1000,459,0.3
monotona,353,50,2,0.0004,1000,555,0.3
monotona,353,50,3,0.0011,1000,518,0.3
monotona,353,50,4,0.0007,1000,497,0.3
monotona,353,50,5,0.0006,1000,521,0.3
monotona,353,50,6,0.0009,1000,554,0.3
monotona,353,50,7,0.0007,1000,503,0.3
monotona,353,50,8,0.0008,1000,497,0.3
monotona,353,50,9,0.0003,1000,654,0.3
monotona,353,50,10,0.0009,1000,556,0.3
monotona,353,50,1,0.0007,1000,564,0.4
monotona,353,50,2,0.0004,1000,543,0.4
monotona,353,50,3,0.0005,1000,542,0.4
monotona,353,50,4,0.0009,1000,595,0.4
monotona,353,50,5,0.0011,1000,533,0.4
monotona,353,50,6,0.0004,1000,587,0.4
monotona,353,50,7,0.0012,1000,476,0.4
monotona,353,50,8,0.0006,1000,553,0.4
monotona,353,50,9,0.0005,1000,609,0.4
monotona,353,50,10,0.0007,1000,510,0.4
monotona,353,50,1,0.0008,1000,655,0.5
monotona,353,50,2,0.0010,1000,602,0.5
monotona,353,50,3,0.0009,1000,508,0.5
monotona,353,50,4,0.0006,1000,544,0.5
monotona,353,50,5,0.0007,1000,597,0.5
monotona,353,50,6,0.0010,1000,508,0.5
monotona,353,50,7,0.0008,1000,553,0.5
monotona,353,50,8,0.0006,1000,573,0.5
monotona,353,50,9,0.0005,1000,558,0.5
monotona,353,50,10,0.0007,1000,542,0.5
monotona,353,50,1,0.0014,1000,557,0.6
monotona,353,50,2,0.0008,1000,562,0.6
monotona,353,50,3,0.0021,1000,459,0.6
monotona,353,50,4,0.0008,1000,581,0.6
monotona,353,50,5,0.0009,1000,579,0.6
monotona,353,50,6,0.0008,1000,569,0.6
monotona,353,50,7,0.0008,1000,526,0.6
monotona,353,50,8,0.0009,1000,594,0.6
monotona,353,50,9,0.0012,1000,467,0.6
monotona,353,50,10,0.0008,1000,523,0.6
monotona,353,50,1,0.0007,1000,531,0.7
monotona,353,50,2,0.0010,1000,521,0.7
monotona,353,50,3,0.0011,1000,561,0.7
monotona,353,50,4,0.0012,1000,518,0.7
monotona,353,50,5,0.0011,1000,521,0.7
monotona,353,50,6,0.0012,1000,484,0.7
monotona,353,50,7,0.0015,1000,510,0.7
monotona,353,50,8,0.0008,1000,527,0.7
monotona,353,50,9,0.0010,1000,609,0.7
monotona,353,50,10,0.0010,1000,537,0.7
monotona,353,50,1,0.0016,1000,513,0.8
monotona,353,50,2,0.0012,1000,544,0.8
monotona,353,50,3,0.0008,1000,689,0.8
monotona,353,50,4,0.0012,1000,515,0.8
monotona,353,50,5,0.0009,1000,576,0.8
monotona,353,50,6,0.0008,1000,567,0.8
monotona,353,50,7,0.0016,1000,452,0.8
monotona,353,50,8,0.0010,1000,517,0.8
monotona,353,50,9,0.0009,1000,530,0.8
monotona,353,50,10,0.0007,1000,541,0.8
monotona,353,50,1,0.0015,1000,454,0.9
monotona,353,50,2,0.0011,1000,584,0.9
monotona,353,50,3,0.0013,1000,509,0.9
monotona,353,50,4,0.0008,1000,626,0.9
