Heuristica,N,M,Replicacao,Tempo,Iteracoes,Valor,Parametro
mlsbb,89,20,3,0.0000,1000,4827,NA
mlsbb,89,20,4,0.0000,1000,4827,NA
mlsbb,89,20,5,0.0000,1000,4827,NA
mlsbb,89,20,6,0.0000,1000,4827,NA
mlsbb,89,20,7,0.0000,1000,4827,NA
mlsbb,89,20,8,0.0000,1000,4827,NA
mlsbb,89,20,9,0.0000,1000,4827,NA
mlsbb,89,20,10,0.0000,1000,4827,NA
mlsbb,89,20,1,0.0000,1000,4827,NA
mlsbb,89,20,2,0.0000,1000,4827,NA
mlsbb,89,20,3,0.0000,1000,4827,NA
mlsbb,89,20,4,0.0000,1000,4827,NA
mlsbb,89,20,5,0.0000,1000,4827,NA
mlsbb,89,20,6,0.0000,1000,4827,NA
mlsbb,89,20,7,0.0000,1000,4827,NA
mlsbb,89,20,8,0.0000,1000,4827,NA
mlsbb,89,20,9,0.0000,1000,4827,NA
mlsbb,89,20,10,0.0000,1000,4827,NA
mlsbb,89,20,1,0.0000,1000,4827,NA
mlsbb,89,20,2,0.0000,1000,4827,NA
mlsbb,89,20,3,0.0000,1000,4827,NA
mlsbb,89,20,4,0.0000,1000,4827,NA
mlsbb,89,20,5,0.0000,1000,4827,NA
mlsbb,89,20,6,0.0000,1000,4827,NA
mlsbb,89,20,7,0.0000,1000,4827,NA
mlsbb,89,20,8,0.0000,1000,4827,NA
mlsbb,89,20,9,0.0000,1000,4827,NA
mlsbb,89,20,10,0.0000,1000,4827,NA
mlsbb,89,20,1,0.0000,1000,4827,NA
mlsbb,89,20,2,0.0000,1000,4827,NA
mlsbb,89,20,3,0.0000,1000,4827,NA
mlsbb,89,20,4,0.0000,1000,4827,NA
mlsbb,89,20,5,0.0000,1000,4827,NA
mlsbb,89,20,6,0.0000,1000,4827,NA
mlsbb,89,20,7,0.0000,1000,4827,NA
mlsbb,89,20,8,0.0000,1000,4827,NA
mlsbb,89,20,9,0.0000,1000,4827,NA
mlsbb,89,20,10,0.0000,1000,4827,NA
mlsbb,400,20,1,0.0000,1000,20204,NA
mlsbb,400,20,2,0.0000,1000,20204,NA
mlsbb,400,20,3,0.0000,1000,20204,NA
mlsbb,400,20,4,0.0000,1000,20204,NA
mlsbb,400,20,5,0.0000,1000,20204,NA
mlsbb,400,20,6,0.0000,1000,20204,NA
mlsbb,400,20,7,0.0000,1000,20204,NA
mlsbb,400,20,8,0.0000,1000,20204,NA
mlsbb,400,20,9,0.0000,1000,20204,NA
mlsbb,400,20,10,0.0000,1000,20204,NA
mlsbb,400,20,1,0.0000,1000,20204,NA
mlsbb,400,20,2,0.0000,1000,20204,NA
mlsbb,400,20,3,0.0000,1000,20204,NA
mlsbb,400,20,4,0.0000,1000,20204,NA
mlsbb,400,20,5,0.0000,1000,20204,NA
mlsbb,400,20,6,0.0000,1000,20204,NA
mlsbb,400,20,7,0.0000,1000,20204,NA
mlsbb,400,20,8,0.0000,1000,20204,NA
mlsbb,400,20,9,0.0000,1000,20204,NA
mlsbb,400,20,10,0.0000,1000,20204,NA
mlsbb,400,20,1,0.0000,1000,20204,NA
mlsbb,400,20,2,0.0010,1000,20204,NA
mlsbb,400,20,3,0.0000,1000,20204,NA
mlsbb,400,20,4,0.0000,1000,20204,NA
mlsbb,400,20,5,0.0000,1000,20204,NA
mlsbb,400,20,6,0.0000,1000,20204,NA
mlsbb,400,20,7,0.0000,1000,20204,NA
mlsbb,400,20,8,0.0000,1000,20204,NA
mlsbb,400,20,9,0.0000,1000,20204,NA
mlsbb,400,20,10,0.0000,1000,20204,NA
mlsbb,400,20,1,0.0000,1000,20204,NA
mlsbb,400,20,2,0.0000,1000,20204,NA
mlsbb,400,20,3,0.0000,1000,20204,NA
mlsbb,400,20,4,0.0000,1000,20204,NA
mlsbb,400,20,5,0.0000,1000,20204,NA
mlsbb,400,20,6,0.0000,1000,20204,NA
mlsbb,400,20,7,0.0000,1000,20204,NA
mlsbb,400,20,8,0.0000,1000,20204,NA
mlsbb,400,20,9,0.0000,1000,20204,NA
mlsbb,400,20,10,0.0000,1000,20204,NA
mlsbb,400,20,1,0.0000,1000,20204,NA
mlsbb,400,20,2,0.0000,1000,20204,NA
mlsbb,400,20,3,0.0000,1000,20204,NA
mlsbb,400,20,4,0.0000,1000,20204,NA
mlsbb,400,20,5,0.0000,1000,20204,NA
mlsbb,400,20,6,0.0000,1000,20204,NA
mlsbb,400,20,7,0.0000,1000,20204,NA
mlsbb,400,20,8,0.0000,1000,20204,NA
mlsbb,400,20,9,0.0000,1000,20204,NA
mlsbb,400,20,10,0.0000,1000,20204,NA
mlsbb,400,20,1,0.0000,1000,20204,NA
mlsbb,400,20,2,0.0000,1000,20204,NA
mlsbb,400,20,3,0.0000,1000,20204,NA
mlsbb,400,20,4,0.0000,1000,20204,NA
mlsbb,400,20,5,0.0000,1000,20204,NA
mlsbb,400,20,6,0.0000,1000,20204,NA
mlsbb,400,20,7,0.0000,1000,20204,NA
mlsbb,400,20,8,0.0000,1000,20204,NA
mlsbb,400,20,9,0.0000,1000,20204,NA
mlsbb,400,20,10,0.0000,1000,20204,NA
mlsbb,400,20,1,0.0000,1000,20204,NA
mlsbb,400,20,2,0.0000,1000,20204,NA
mlsbb,400,20,3,0.0000,1000,20204,NA
mlsbb,400,20,4,0.0000,1000,20204,NA
mlsbb,400,20,5,0.0000,1000,20204,NA
mlsbb,400,20,6,0.0000,1000,20204,NA
mlsbb,400,20,7,0.0000,1000,20204,NA
mlsbb,400,20,8,0.0000,1000,20204,NA
mlsbb,400,20,9,0.0000,1000,20204,NA
mlsbb,400,20,10,0.0000,1000,20204,NA
mlsbb,400,20,1,0.0000,1000,20204,NA
mlsbb,400,20,2,0.0000,1000,20204,NA
mlsbb,400,20,3,0.0000,1000,20204,NA
mlsbb,400,20,4,0.0000,1000,20204,NA
mlsbb,400,20,5,0.0000,1000,20204,NA
mlsbb,400,20,6,0.0000,1000,20204,NA
